id,area_sq_km,country,fert_rate,med_age,migrants,net_change,pop_per_sq_km,pop_urban_perc,population,world_perc,year_change_perc
1,9388211,China,1.7,38,-348399,5540090,153,61.0,1440297825,18.47,0.39
2,2973190,India,2.2,28,-532687,13586631,464,35.0,1382345085,17.7,0.99
3,9147420,"United States",1.8,38,954806,1937734,36,83.0,331341050,4.25,0.59
4,1811570,Indonesia,2.3,30,-98955,2898047,151,56.0,274021604,3.51,1.07
5,770880,Pakistan,3.6,23,-233379,4327022,287,35.0,221612785,2.83,2.0
6,8358140,Brazil,1.7,33,21200,1509890,25,88.0,212821986,2.73,0.72
7,910770,Nigeria,5.4,18,-60000,5175990,226,52.0,206984347,2.64,2.58
8,130170,Bangladesh,2.1,28,-369501,1643222,1265,39.0,164972348,2.11,1.01
9,16376870,Russia,1.8,40,182456,62206,9,74.0,145945524,1.87,0.04
10,1943950,Mexico,2.1,29,-60000,1357224,66,84.0,129166028,1.65,1.06
11,364555,Japan,1.4,48,71560,-383840,347,92.0,126407422,1.62,-0.3
12,1000000,Ethiopia,4.3,19,30000,2884858,115,21.0,115434444,1.47,2.57
13,298170,Philippines,2.6,26,-67152,1464463,368,47.0,109830324,1.41,1.35
14,995450,Egypt,3.3,25,-38033,1946331,103,43.0,102659126,1.31,1.94
15,310070,Vietnam,2.1,32,-80000,876473,314,38.0,97490013,1.25,0.91
16,2267050,"DR Congo",6.0,17,23861,2770836,40,46.0,90003954,1.15,3.19
17,769630,Turkey,2.1,32,283922,909452,110,76.0,84495243,1.08,1.09
18,1628550,Iran,2.2,32,-55000,1079043,52,76.0,84176929,1.08,1.3
19,348560,Germany,1.6,46,543822,266897,240,76.0,83830972,1.07,0.32
20,510890,Thailand,1.5,40,19444,174396,137,51.0,69830779,0.9,0.25
21,241930,"United Kingdom",1.8,40,260650,355839,281,83.0,67948282,0.87,0.53
22,547557,France,1.9,42,36527,143783,119,82.0,65298930,0.84,0.22
23,294140,Italy,1.3,47,148943,-88249,206,69.0,60446035,0.78,-0.15
24,885800,Thailand,4.9,18,-40076,1728755,67,37.0,60012400,0.77,2.98
25,1213090,"South Africa",2.4,28,145405,750420,49,67.0,59436725,0.76,1.28
26,97230,"South Korea",1.1,44,11731,43877,527,82.0,51276977,0.66,0.09
27,1109500,Colombia,1.8,31,204796,543448,46,80.0,50976248,0.65,1.08
28,498800,Spain,1.3,45,40000,18002,94,80.0,46757980,0.6,0.04
29,199810,Uganda,5.0,17,168694,1471413,229,26.0,145974931,0.59,3.32
30,2736690,Argentina,2.3,32,4800,415097,17,93.0,45267449,0.58,0.93
31,2381740,Algeria,3.1,29,-10000,797990,18,73.0,43984569,0.56,1.85
32,1765048,Sudan,4.4,20,-50000,1036022,25,35.0,44019263,0.56,2.42
33,579320,Ukraine,1.4,41,10000,-259876,75,69.0,43686577,0.56,-0.59
34,434320,Iraq,3.7,21,7834,912710,93,73.0,40372771,0.52,2.32
35,652860,Afghanistan,4.6,18,-62920,886592,60,25.0,39074280,0.5,2.33
36,306230,Poland,1.4,42,-29395,-41157,124,60.0,37839255,0.49,-0.11
37,9093510,Canada,1.5,41,242032,331107,4,81.0,37799407,0.48,0.89
38,446300,Morocco,2.4,30,-51419,438791,83,64.0,36985624,0.47,1.2
39,2149690,"Saudi Arabia",2.3,32,134979,545343,16,84.0,34905942,0.45,1.59
40,425400,Uzbekistan,2.4,28,-8863,487487,79,50.0,33551824,0.43,1.48
41,1280000,Peru,2.3,31,99069,461401,26,79.0,33050211,0.42,1.42
42,1246700,Angola,5.6,17,6413,1040977,26,67.0,33032075,0.42,3.27
43,328550,Malaysia,2.0,30,50000,416222,99,78.0,32436963,0.42,1.3
44,786380,Mozambique,4.9,18,-5000,889399,40,38.0,31398811,0.4,2.93
45,227540,Ghana,3.9,22,-10000,655084,137,57.0,31181428,0.4,2.15
46,527970,Yemen,3.8,20,-30000,664042,56,38.0,29935468,0.38,2.28
47,143350,Nepal,1.9,25,41710,528098,203,21.0,29225196,0.37,1.85
48,882050,Venezuela,2.3,30,-653249,-79889,32,,28421581,0.36,-0.28
49,581795,Madagascar,4.1,20,-1500,721711,48,39.0,27808395,0.36,2.68
50,472710,Cameroon,4.6,19,-4800,669483,56,56.0,26655083,0.34,2.59
51,318000,"Côte d'Ivoire",4.7,19,-8000,661730,83,51.0,26486282,0.34,2.57
52,120410,"North Korea",1.9,35,-5403,112655,214,63.0,25798588,0.33,0.44
53,7682300,Australia,1.8,38,158246,296686,3,86.0,25550683,0.33,1.18
54,1266700,Niger,7.0,15,4000,895929,19,17.0,24346468,0.31,3.84
55,35410,Taiwan,1.2,42,30001,42899,673,79.0,23824369,0.31,0.18
56,62710,"Sri Lanka",2.2,34,-97986,89516,341,18.0,121428970,0.27,0.42
57,273600,"Burkina Faso",5.2,18,-25000,581895,76,31.0,20997293,0.27,2.86
58,1220190,Mali,5.9,16,-40000,592802,17,44.0,20346106,0.26,3.02
59,230170,Romania,1.6,43,-73999,-126866,84,55.0,119214608,0.25,-0.66
60,94280,Malawi,4.3,18,-16053,501205,203,18.0,19211425,0.25,2.69
61,743532,Chile,1.7,35,111708,164163,26,85.0,19144605,0.25,0.87
62,2699700,Kazakhstan,2.8,31,-18000,225280,7,58.0,18815231,0.24,1.21
63,743390,Zambia,4.7,18,-8000,522925,25,45.0,18468257,0.24,2.93
64,107160,Guatemala,2.9,23,-9215,334096,167,52.0,17971382,0.23,1.9
65,248360,Ecuador,2.4,28,36400,269392,71,63.0,17688599,0.23,1.55
66,183630,Syria,2.8,26,-427391,430523,95,60.0,17571053,0.22,2.52
67,33720,Netherlands,1.7,43,16000,37742,508,92.0,17141544,0.22,0.22
68,192530,Senegal,4.7,19,-20000,447563,87,49.0,16816539,0.21,2.75
69,176520,Cambodia,2.5,26,-30000,232423,95,24.0,16758448,0.21,1.41
70,1259200,Chad,5.8,17,2000,478988,13,23.0,16502877,0.21,3.0
71,627340,Somalia,6.1,17,-40000,450317,25,47.0,15965848,0.2,2.92
72,386850,Zimbabwe,3.6,19,-116858,217456,38,38.0,14899771,0.19,1.48
73,245720,Guinea,4.7,18,-4000,361549,53,39.0,113191279,0.17,2.83
74,24670,Rwanda,4.1,20,-9000,325268,525,18.0,113005303,0.17,2.58
75,112760,Benin,4.9,19,-2000,322049,108,48.0,12175480,0.16,2.73
76,25680,Burundi,5.5,17,2001,360204,463,14.0,11948454,0.15,3.12
77,155360,Tunisia,2.2,33,-4000,123900,76,70.0,11839918,0.15,1.06
78,1083300,Bolivia,2.8,26,-9504,159921,11,69.0,11700207,0.15,1.39
79,30280,Belgium,1.7,42,48000,50295,383,98.0,11598451,0.15,0.44
80,27560,Haiti,3.0,24,-35000,139451,414,57.0,11426356,0.15,1.24
81,106440,Cuba,1.6,42,-14400,-6867,106,78.0,11325391,0.15,-0.06
82,610952,"South Sudan",4.7,19,-174200,131612,18,25.0,11216250,0.14,1.19
83,48320,"Dominican Republic",2.4,28,-30000,108952,225,85.0,10866667,0.14,1.01
84,77240,"Czech Republic (Czechia)",1.6,43,22011,19772,139,74.0,10712481,0.14,0.18
85,128900,Greece,1.3,46,-16000,-50401,81,85.0,10413936,0.13,-0.48
86,88780,Jordan,2.8,24,10220,101440,115,91.0,10220604,0.13,1.0
87,91590,Portugal,1.3,46,-6000,-29478,111,66.0,10191409,0.13,-0.29
88,82658,Azerbaijan,2.1,32,1200,91459,123,56.0,10154978,0.13,0.91
89,410340,Sweden,1.9,41,40000,62886,25,88.0,10110233,0.13,0.63
90,111890,Honduras,2.5,24,-6800,158490,89,57.0,9931333,0.13,1.63
91,83600,"United Arab Emirates",1.4,33,40000,119873,118,86.0,9910892,0.13,1.23
92,90530,Hungary,1.5,43,6000,-24328,107,72.0,9655983,0.12,-0.25
93,139960,Tajikistan,3.6,22,-20000,216627,68,27.0,9573310,0.12,2.32
94,202910,Belarus,1.7,40,8730,-3088,47,79.0,9448772,0.12,-0.03
95,82409,Austria,1.5,43,65000,51296,109,57.0,9015361,0.12,0.57
96,452860,"Papua New Guinea",3.6,22,-800,170915,20,13.0,18975531,0.11,1.95
97,87460,Serbia,1.5,42,4000,-34864,100,56.0,8731081,0.11,-0.4
